,Abandonó_Servicio,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Antigüedad,Servicio_Telefónico,Múltiples_Líneas,Seguridad_Online,Respaldo_Online,Protección_Dispositivo,Soporte_Técnico,TV_Streaming,Películas_Streaming,Cargo_Mensual,Cargo_Total,Cuentas_Diarias,Género_Masculino,Servicio_Internet_Fibra optica,Servicio_Internet_No,Tipo_Contrato_Bianual,Tipo_Contrato_Mensual,Factura_Digital_Yes,Método_Pago_Cheque enviado por correo,Método_Pago_Tarjeta de crédito (automático),Método_Pago_Transferencia bancaria (automática)
0,0,0,1,1,9,1,0,0,1,0,1,1,0,65.6,593.3,2.197407407407407,0,0,0,0,0,1,1,0,0
1,0,0,0,0,9,1,1,0,0,0,0,0,1,59.9,542.4,2.008888888888889,1,0,0,0,1,0,1,0,0
2,1,0,0,0,4,1,0,0,0,1,0,0,0,73.9,280.85,2.340416666666667,1,1,0,0,1,1,0,0,0
3,1,1,1,0,13,1,0,0,1,1,0,1,1,98.0,1237.85,3.1739743589743585,1,1,0,0,1,1,0,0,0
4,1,1,1,0,3,1,0,0,0,0,1,1,0,83.9,267.4,2.971111111111111,0,1,0,0,1,1,1,0,0
5,0,0,0,1,9,1,0,0,0,0,1,1,1,69.4,571.45,2.1164814814814816,0,0,0,0,1,1,0,1,0
6,0,1,1,0,71,1,0,1,1,1,1,1,1,109.7,7904.25,3.7109154929577466,0,1,0,1,0,1,0,0,1
7,0,0,1,0,63,1,1,1,0,0,1,0,0,84.65,5377.8,2.8453968253968256,1,1,0,1,0,1,0,1,0
8,0,1,0,0,7,1,0,1,0,0,0,0,0,48.2,340.35,1.6207142857142858,0,0,0,0,1,1,0,0,0
9,0,0,1,1,65,1,1,1,1,1,1,1,1,90.45,5957.9,3.055333333333333,0,0,0,1,0,1,1,0,0
10,0,0,0,0,54,0,0,1,0,0,1,1,0,45.2,2460.55,1.518858024691358,1,0,0,1,0,0,0,1,0
11,0,0,1,1,72,1,1,1,1,1,1,1,1,116.8,8456.75,3.915162037037037,0,1,0,1,0,1,0,1,0
12,0,0,1,0,5,1,0,0,0,0,0,0,0,68.95,351.5,2.3433333333333333,0,1,0,0,1,1,0,0,0
13,0,0,0,0,72,1,1,1,1,1,0,1,0,101.3,7261.25,3.361689814814815,0,1,0,1,0,1,0,0,1
14,0,0,0,0,56,0,0,1,1,1,1,0,0,45.05,2560.1,1.5238690476190475,0,0,0,1,0,0,0,0,1
15,0,0,1,1,71,1,1,0,1,1,0,0,1,95.75,6849.4,3.215680751173709,0,1,0,1,0,1,0,1,0
16,0,0,1,1,34,0,0,1,0,1,1,1,1,61.25,1993.2,1.9541176470588235,0,0,0,0,0,0,1,0,0
17,0,1,0,0,1,1,1,0,0,0,0,0,0,72.1,72.1,2.4033333333333333,0,1,0,0,1,1,0,0,0
18,1,1,0,0,45,1,0,1,0,1,0,0,1,62.7,2791.5,2.0677777777777777,1,0,0,0,0,0,0,1,0
19,1,1,0,0,1,0,0,0,0,0,0,0,0,25.1,25.1,0.8366666666666667,1,0,0,0,1,1,0,0,0
20,0,1,1,0,50,1,1,0,0,0,0,0,0,25.2,1306.3,0.8708666666666667,0,0,1,0,0,0,0,0,0
21,1,0,1,0,13,1,1,0,1,1,0,1,0,94.1,1215.6,3.1169230769230767,0,1,0,0,1,0,0,0,0
22,0,0,1,1,23,1,1,0,0,0,0,1,0,83.75,1849.95,2.6810869565217392,0,1,0,0,1,1,0,0,0
23,0,0,0,0,3,1,0,0,0,0,0,0,0,19.85,57.2,0.6355555555555555,0,0,1,0,1,0,1,0,0
24,1,0,1,1,4,1,0,0,0,0,0,0,0,20.35,76.35,0.63625,0,0,1,0,1,0,1,0,0
25,1,0,1,1,1,0,0,1,0,0,0,0,0,30.5,30.5,1.0166666666666666,0,0,0,0,1,0,0,0,1
26,0,0,1,1,55,1,0,0,1,1,1,1,1,103.7,5656.75,3.428333333333333,0,1,0,0,0,1,0,0,1
27,0,0,1,1,54,1,0,0,0,0,0,0,0,20.4,1090.6,0.6732098765432099,1,0,1,1,0,0,0,1,0
28,0,0,0,0,26,1,0,0,0,0,0,0,0,19.6,471.85,0.6049358974358975,1,0,1,0,0,1,0,0,1
